错误类型,错误等级,错误解释,错误描述
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,函数内无缩进
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,if语句内无缩进
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,for循环内无缩进
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,while循环内无缩进
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,类方法无缩进
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,with语句内无缩进
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,try-except块内无缩进
缩进错误,初级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,多行字符串内意外缩进
缩进错误,中级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,混合使用空格和制表符
缩进错误,中级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,不同层级缩进不一致
缩进错误,中级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,多行条件语句缩进错误
缩进错误,中级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,嵌套结构缩进混乱
缩进错误,中级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,连续代码块缩进跳跃
缩进错误,中级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,装饰器下方函数缩进错误
缩进错误,高级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,多线程代码中缩进导致的逻辑错误
缩进错误,高级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,上下文管理器嵌套缩进问题
缩进错误,高级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,异步函数内await语句缩进错误
缩进错误,高级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,元类定义中缩进问题
缩进错误,高级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,动态代码生成中的缩进错误
缩进错误,高级,缩进错误是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,协程中yield语句缩进错误
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,if语句后缺少冒号
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,for循环后缺少冒号
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,while循环后缺少冒号
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,函数定义后缺少冒号
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,类定义后缺少冒号
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,elif语句后缺少冒号
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,else语句后缺少冒号
冒号遗漏,初级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,try语句后缺少冒号
冒号遗漏,中级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,with语句后缺少冒号
冒号遗漏,中级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,列表推导式中条件后缺少冒号
冒号遗漏,中级,冒号遗漏是一类Python语法层面的问题，通常由于书写格式、符号或结构不规范导致程序无法正常运行。,字典推导式中条件后缺少冒号
